id,cos_10,cos_20,sim_10,sim_20,com_1_1_10,com_1_1_20,com_1_3_10,com_1_3_20,com_1_5_10,com_1_5_20,com_1_7_10,com_1_7_20,com_1_9_10,com_1_9_20,com_3_1_10,com_3_1_20,com_3_3_10,com_3_3_20,com_3_5_10,com_3_5_20,com_3_7_10,com_3_7_20,com_3_9_10,com_3_9_20,com_5_1_10,com_5_1_20,com_5_3_10,com_5_3_20,com_5_5_10,com_5_5_20,com_5_7_10,com_5_7_20,com_5_9_10,com_5_9_20,com_7_1_10,com_7_1_20,com_7_3_10,com_7_3_20,com_7_5_10,com_7_5_20,com_7_7_10,com_7_7_20,com_7_9_10,com_7_9_20,com_9_1_10,com_9_1_20,com_9_3_10,com_9_3_20,com_9_5_10,com_9_5_20,com_9_7_10,com_9_7_20,com_9_9_10,com_9_9_20
64,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,4,0,3,2,2,0,2,0,0,0,4,3,4,0,3,2,2,0,2,0,4,0,4,0,4,0,3,2,2
65,0,5,0,2,0,5,1,2,0,3,0,2,0,2,0,5,0,5,0,3,2,3,1,2,0,5,3,5,0,5,0,4,0,3,0,5,0,5,0,5,0,5,0,4,3,5,0,5,0,5,2,4,0,5
66,5,7,0,0,0,4,1,2,0,1,0,0,0,0,5,7,0,4,2,2,2,2,1,2,0,7,0,7,0,4,0,3,2,2,0,7,0,7,0,5,0,4,0,4,0,7,5,7,4,7,0,5,0,4
67,0,14,0,12,0,14,8,14,8,14,8,14,8,14,8,16,0,14,0,14,8,15,8,14,8,16,9,15,0,14,10,14,0,15,8,16,0,15,9,15,0,14,10,14,8,16,8,16,9,15,9,15,0,14
68,0,7,0,7,0,9,0,6,0,8,0,7,0,7,5,8,0,9,0,8,5,7,0,6,5,8,0,8,0,9,6,8,0,8,0,8,0,7,0,8,0,9,6,7,0,8,5,8,0,8,0,7,0,9
69,7,10,5,9,0,10,0,9,0,9,0,9,5,9,0,10,0,10,4,9,0,11,0,9,7,10,0,10,0,10,0,10,0,10,7,10,0,10,8,9,0,10,0,10,7,11,0,10,0,10,7,9,0,10
70,0,10,0,3,7,10,4,8,0,7,0,6,0,5,0,10,7,10,0,9,4,9,4,8,0,10,0,11,7,10,0,10,0,9,0,10,0,11,0,11,7,10,0,10,0,10,0,10,0,11,6,11,7,10
71,3,6,4,5,0,7,0,6,5,5,4,5,0,5,0,7,0,7,4,8,0,7,0,6,0,7,0,8,0,7,0,7,4,8,3,7,3,8,0,8,0,7,0,7,3,7,0,7,0,8,0,7,0,7
72,5,10,1,5,5,11,3,9,3,6,2,6,0,6,0,10,5,11,5,10,3,10,3,9,5,10,0,11,5,11,5,10,5,10,5,10,0,11,0,11,5,11,5,10,5,10,0,10,6,11,0,11,5,11
73,0,4,4,6,1,5,3,4,3,5,0,6,0,6,0,4,1,5,3,3,3,4,3,4,0,4,1,5,1,5,0,3,0,3,0,4,0,4,1,4,1,5,2,4,0,4,0,4,1,5,1,5,1,5
74,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
75,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,1,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,3,3,0,3
76,0,8,9,14,0,13,0,14,8,15,0,15,8,15,0,9,0,13,7,12,7,12,0,14,0,9,0,10,0,13,7,12,0,12,5,9,6,10,0,11,0,13,7,13,5,9,0,9,0,10,0,12,0,13
77,0,10,0,0,0,9,4,6,0,3,0,2,0,1,7,10,0,9,0,9,0,8,4,6,0,10,7,10,0,9,0,9,0,9,0,10,7,9,0,9,0,9,8,9,0,10,7,10,7,10,0,10,0,9
78,4,8,0,4,0,6,0,7,0,7,3,7,0,7,4,7,0,6,0,7,0,8,0,7,4,8,4,7,0,6,0,6,0,7,4,8,4,7,5,6,0,6,5,6,4,8,4,7,4,7,5,6,0,6
79,0,9,0,5,0,9,6,8,0,7,0,6,0,6,0,9,0,9,0,9,0,9,6,8,0,10,7,10,0,9,8,9,0,9,0,10,0,9,8,10,0,9,8,9,0,10,0,9,7,10,8,10,0,9
80,0,12,0,1,0,8,0,3,0,1,0,1,0,1,0,10,0,8,0,5,0,3,0,3,0,11,0,10,0,8,0,6,0,5,0,11,0,10,0,10,0,8,0,6,0,11,0,10,0,10,4,10,0,8
81,0,12,6,7,7,12,6,13,7,9,7,9,0,9,8,11,7,12,0,12,6,12,6,13,8,12,0,12,7,12,7,12,0,12,8,12,8,11,0,12,7,12,7,12,8,12,8,11,0,12,0,12,7,12
82,0,4,0,7,2,7,0,6,2,7,2,7,2,7,0,3,2,7,0,6,0,5,0,6,0,4,0,5,2,7,2,7,0,6,0,4,0,4,2,6,2,7,0,7,0,4,0,3,2,4,0,7,2,7
83,0,2,0,5,0,5,0,2,0,5,0,5,3,5,0,3,0,5,0,3,0,1,0,2,0,3,0,4,0,5,0,4,0,3,0,3,0,4,0,4,0,5,0,4,0,2,0,3,0,4,0,4,0,5
84,6,13,7,12,0,12,8,10,7,11,7,11,7,13,6,11,0,12,7,11,8,11,8,10,0,12,0,11,0,12,0,11,7,10,6,12,6,11,0,12,0,12,0,12,6,12,6,11,0,11,0,12,0,12
85,0,5,0,3,1,4,0,4,0,4,0,3,0,3,2,5,1,4,0,2,0,4,0,4,0,5,3,5,1,4,0,3,1,2,0,5,0,5,0,5,1,4,1,3,0,5,2,5,3,5,2,5,1,4
86,0,11,0,4,0,10,0,4,0,2,0,3,0,3,0,10,0,10,5,8,2,5,0,4,0,11,7,12,0,10,6,9,0,7,0,11,0,12,7,12,0,10,7,9,0,11,0,10,0,12,7,12,0,10
87,3,7,0,4,4,7,0,7,0,5,0,4,4,4,4,6,4,7,0,8,3,8,0,7,4,7,4,5,4,7,0,7,0,8,4,6,4,5,4,6,4,7,0,7,4,6,4,6,4,4,0,6,4,7
88,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,6,2,3,0,2,0,0,0,8,5,8,0,6,0,4,2,3,0,8,0,8,4,8,0,6,0,5,0,8,0,8,5,8,4,8,0,6
89,6,11,0,0,5,8,0,1,0,0,0,0,0,0,6,10,5,8,0,5,0,2,0,1,6,11,5,9,5,8,4,5,0,4,6,11,0,9,0,8,5,8,4,6,6,11,6,10,5,9,0,8,5,8
90,5,11,4,5,5,9,0,6,0,7,0,7,0,7,0,12,5,9,0,7,0,7,0,6,5,11,0,10,5,9,0,8,0,8,5,11,0,11,0,10,5,9,0,9,5,11,0,12,5,10,4,10,5,9
91,5,11,4,5,0,9,0,6,0,7,0,7,0,7,0,12,0,9,0,8,0,7,0,6,5,12,5,10,0,9,0,9,0,8,5,12,0,12,5,10,0,9,4,9,5,13,0,12,5,10,5,10,0,9
92,9,15,0,4,7,13,0,6,0,6,0,6,0,4,9,14,7,13,5,10,0,8,0,6,9,14,9,13,7,13,5,12,0,11,9,14,9,14,9,13,7,13,6,12,9,15,9,14,9,13,8,13,7,13
93,0,8,0,5,9,11,0,7,0,5,0,5,0,5,7,8,9,11,7,11,0,10,0,7,0,8,6,12,9,11,7,11,0,11,0,8,7,8,6,12,9,11,7,11,0,8,7,8,0,12,8,12,9,11
94,0,7,0,4,7,11,0,8,0,6,0,4,0,4,5,9,7,11,6,13,6,11,0,8,0,8,6,9,7,11,0,12,0,13,0,8,5,9,0,9,7,11,0,11,0,7,5,9,0,9,0,9,7,11
95,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,3,0,2,0,0,0,5,0,4,0,4,0,3,0,3,0,5,0,5,2,4,0,4,0,4,0,5,0,5,0,5,0,4,0,4
96,0,10,0,4,0,7,0,4,0,4,1,3,1,3,5,10,0,7,2,5,0,3,0,4,0,11,3,9,0,7,0,5,0,4,0,11,0,10,3,9,0,7,0,6,0,11,5,10,3,10,0,8,0,7
97,0,12,0,3,9,13,5,11,4,7,0,5,0,5,0,12,9,13,7,12,6,11,5,11,0,12,0,13,9,13,8,12,0,11,0,12,0,13,0,13,9,13,0,12,0,12,0,12,0,13,0,13,9,13
98,5,9,0,1,0,5,0,4,0,3,0,3,0,3,5,7,0,5,0,4,0,4,0,4,5,8,0,6,0,5,0,4,0,4,5,8,5,7,0,6,0,5,0,4,5,8,5,7,0,7,0,6,0,5
99,0,6,5,10,6,11,6,10,6,10,6,10,6,10,0,7,6,11,6,12,6,9,6,10,0,7,0,8,6,11,0,11,6,11,0,6,0,7,0,8,6,11,0,11,0,6,0,7,0,8,6,9,6,11
100,0,7,1,3,2,5,0,4,1,4,0,3,0,3,2,7,2,5,0,4,0,3,0,4,0,7,3,6,2,5,1,4,0,6,0,7,0,7,0,6,2,5,2,5,0,7,2,7,3,6,0,6,2,5
101,0,6,0,9,8,10,5,10,0,11,0,10,0,10,5,6,8,10,7,10,5,10,5,10,0,6,0,8,8,10,0,10,0,10,0,6,0,6,0,9,8,10,0,10,0,6,5,6,0,7,0,9,8,10
102,0,2,0,2,0,4,0,3,0,2,0,2,0,2,2,4,0,4,0,4,0,3,0,3,2,3,0,4,0,4,0,3,0,4,0,2,2,4,0,4,0,4,0,3,2,2,2,4,0,4,0,4,0,4
103,9,12,0,12,10,17,10,16,9,14,9,14,0,14,10,15,10,17,10,17,10,17,10,16,10,15,10,16,10,17,10,17,10,17,0,14,10,16,10,17,10,17,10,17,9,14,10,15,10,16,10,17,10,17
104,0,2,0,4,0,5,0,5,2,5,2,5,2,5,0,2,0,5,0,6,0,5,0,5,0,2,0,5,0,5,0,6,0,6,0,2,0,2,0,5,0,5,0,6,0,2,0,2,0,4,3,5,0,5
105,7,16,5,11,10,17,7,15,0,15,6,14,6,14,9,17,10,17,0,16,0,16,7,15,0,17,9,17,10,17,10,16,9,16,0,17,9,17,0,17,10,17,10,16,7,16,9,17,9,17,0,17,10,17
106,6,9,0,10,9,13,7,14,7,13,0,12,6,12,8,12,9,13,8,15,7,13,7,14,0,11,0,12,9,13,0,14,0,14,7,10,8,12,0,12,9,13,9,14,7,10,8,12,0,12,0,13,9,13
107,4,8,5,12,6,11,6,13,7,12,6,12,6,13,4,10,6,11,5,11,6,11,6,13,4,8,4,11,6,11,5,10,5,11,4,8,4,10,5,11,6,11,5,11,4,8,4,10,4,10,0,11,6,11
108,5,5,0,11,0,8,0,13,6,13,0,13,5,12,0,6,0,8,5,11,5,14,0,13,0,5,0,7,0,8,6,10,5,12,0,5,0,6,0,7,0,8,0,9,0,5,0,6,0,7,0,8,0,8
109,0,5,3,6,6,12,4,10,0,9,0,7,3,6,0,7,6,12,0,11,5,10,4,10,0,7,5,10,6,12,6,11,5,11,3,7,0,8,0,11,6,12,6,11,3,7,0,7,5,10,0,11,6,12
110,0,7,5,12,0,10,0,12,6,12,6,12,6,13,4,7,0,10,0,11,0,11,0,12,0,7,5,8,0,10,6,11,6,11,0,6,0,8,5,9,0,10,6,11,0,6,4,7,0,8,5,9,0,10
111,8,15,8,11,9,18,10,17,10,16,10,15,10,14,9,18,9,18,9,17,0,17,10,17,0,16,9,18,9,18,9,18,9,17,8,16,9,18,9,18,9,18,9,18,8,16,9,18,9,18,9,18,9,18
112,0,4,6,9,4,11,6,11,6,11,6,11,0,10,3,5,4,11,6,12,6,11,6,11,3,5,3,9,4,11,5,12,0,11,3,5,0,7,3,10,4,11,0,12,0,5,3,5,3,8,4,10,4,11
113,0,2,8,13,4,7,6,13,6,14,6,14,6,13,0,4,4,7,6,11,6,11,6,13,0,3,0,4,4,7,0,9,0,11,0,2,0,4,0,5,4,7,0,8,0,2,0,4,0,4,0,5,4,7
114,0,7,8,15,5,12,8,14,0,15,7,15,0,15,4,10,5,12,6,13,7,14,8,14,4,9,0,11,5,12,0,13,6,13,0,9,4,10,5,12,5,12,0,12,5,8,4,10,4,11,5,12,5,12
115,9,18,9,15,10,19,10,20,10,18,10,18,10,18,0,19,10,19,10,19,10,20,10,20,9,18,10,19,10,19,10,19,10,20,9,18,10,19,10,19,10,19,10,19,9,18,0,19,10,19,10,19,10,19
116,0,5,0,10,6,10,0,11,0,9,0,9,0,9,0,7,6,10,6,11,6,11,0,11,0,6,0,7,6,10,0,11,0,11,0,6,5,7,0,9,6,10,6,11,0,6,0,7,0,7,0,9,6,10
117,10,16,10,18,10,20,10,19,10,19,10,19,10,19,10,18,10,20,10,20,10,20,10,19,10,18,10,19,10,20,10,20,10,20,10,18,10,18,10,19,10,20,10,20,10,17,10,18,10,19,10,19,10,20
118,4,7,6,10,9,15,9,13,7,12,6,12,6,11,0,11,9,15,0,15,0,13,9,13,6,11,8,15,9,15,0,16,0,14,0,10,7,14,0,14,9,15,0,17,5,9,0,11,0,15,9,14,9,15
119,0,10,2,4,6,12,0,8,0,6,0,5,0,5,7,13,6,12,5,8,0,8,0,8,0,12,0,13,6,12,5,9,5,8,0,11,0,12,0,13,6,12,5,10,0,11,7,13,0,12,0,13,6,12
120,3,5,0,2,0,5,2,3,0,3,0,3,0,3,0,6,0,5,0,4,0,4,2,3,4,6,0,6,0,5,0,4,3,4,4,6,0,6,4,6,0,5,0,4,0,5,0,6,0,6,0,5,0,5
121,0,0,8,11,0,5,0,12,7,12,7,12,7,11,0,2,0,5,0,8,0,13,0,12,0,1,2,3,0,5,4,7,0,8,0,0,0,2,0,4,0,5,0,7,0,0,0,2,1,3,0,5,0,5
122,0,1,2,3,0,3,0,4,0,4,0,4,2,4,1,2,0,3,1,3,0,3,0,4,0,1,0,2,0,3,0,3,0,3,0,1,1,2,0,2,0,3,1,3,1,1,1,2,0,2,0,2,0,3
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,9,15,0,11,10,17,9,17,9,16,9,14,8,14,10,17,10,17,10,17,10,18,9,17,0,16,10,17,10,17,10,17,10,17,9,16,10,17,10,17,10,17,10,17,9,16,10,17,10,17,10,17,10,17
